Measurement Time	Port 1 ECT/RT-1 Temperature °C Temp	Port 2 EC-5 Soil Moisture m³/m³ VWC	Port 3 EC-5 Soil Moisture m³/m³ VWC	Port 4 EC-5 Soil Moisture m³/m³ VWC	Port 5 EC-5 Soil Moisture m³/m³ VWC
06/30/14 12:00 PM	8.9	-0.008	0.021	0.095	0.004
06/30/14 04:00 PM	13.0	-0.009	0.017	0.094	0.004
06/30/14 08:00 PM	22.0	0.000	0.022	0.093	0.004
07/01/14 12:00 AM	24.8	0.003	0.031	0.095	0.004
07/01/14 04:00 AM	19.8	-0.005	0.029	0.099	0.005
07/01/14 08:00 AM	7.9	-0.010	0.025	0.098	0.004
07/01/14 12:00 PM	6.3	-0.014	0.021	0.095	0.003
07/01/14 04:00 PM	15.7	-0.014	0.018	0.095	0.004
07/01/14 08:00 PM	26.0	-0.002	0.024	0.095	0.004
07/02/14 12:00 AM	29.8	-0.001	0.031	0.097	0.006
07/02/14 04:00 AM	24.0	-0.008	0.028	0.099	0.007
07/02/14 08:00 AM	12.4	-0.015	0.022	0.099	0.006
07/02/14 12:00 PM	10.3	-0.017	0.018	0.099	0.004
07/02/14 04:00 PM	19.4	-0.016	0.016	0.097	0.005
07/02/14 08:00 PM	29.4	-0.008	0.020	0.096	0.007
07/03/14 12:00 AM	33.2	-0.006	0.026	0.099	0.007
07/03/14 04:00 AM	26.9	-0.014	0.022	0.100	0.009
07/03/14 08:00 AM	16.5	-0.019	0.017	0.100	0.006
07/03/14 12:00 PM	13.3	-0.022	0.014	0.099	0.004
07/03/14 04:00 PM	21.8	-0.022	0.010	0.099	0.006
07/03/14 08:00 PM	29.4	-0.016	0.013	0.099	0.007
07/04/14 12:00 AM	30.2	-0.015	0.016	0.099	0.007
07/04/14 04:00 AM	26.5	-0.018	0.014	0.100	0.008
07/04/14 08:00 AM	14.7	-0.023	0.012	0.099	0.005
07/04/14 12:00 PM	11.2	-0.024	0.010	0.099	0.004
07/04/14 04:00 PM	20.6	-0.024	0.008	0.099	0.005
07/04/14 08:00 PM	31.8	-0.014	0.012	0.099	0.007
07/05/14 12:00 AM	36.0	-0.012	0.017	0.100	0.009
07/05/14 04:00 AM	27.7	-0.019	0.015	0.102	0.008
07/05/14 08:00 AM	16.9	-0.024	0.011	0.101	0.006
07/05/14 12:00 PM	13.6	-0.026	0.010	0.100	0.005
07/05/14 04:00 PM	21.9	-0.026	0.005	0.099	0.006
07/05/14 08:00 PM	31.4	-0.019	0.009	0.099	0.007
07/06/14 12:00 AM	37.0	-0.015	0.015	0.100	0.009
07/06/14 04:00 AM	30.5	-0.020	0.013	0.102	0.009
07/06/14 08:00 AM	19.5	-0.025	0.009	0.102	0.007
07/06/14 12:00 PM	17.1	-0.027	0.007	0.101	0.006
07/06/14 04:00 PM	23.9	-0.028	0.004	0.100	0.007
07/06/14 08:00 PM	33.2	-0.018	0.009	0.100	0.009
07/07/14 12:00 AM	36.2	-0.015	0.014	0.102	0.010
07/07/14 04:00 AM	29.1	-0.022	0.012	0.104	0.010
07/07/14 08:00 AM	19.4	-0.027	0.008	0.104	0.009
07/07/14 12:00 PM	19.0	-0.031	0.004	0.102	0.008
07/07/14 04:00 PM	22.8	-0.030	0.004	0.102	0.008
07/07/14 08:00 PM	30.8	-0.020	0.006	0.101	0.008
07/08/14 12:00 AM	34.2	-0.018	0.010	0.102	0.010
07/08/14 04:00 AM	27.4	-0.025	0.009	0.104	0.009
07/08/14 08:00 AM	16.5	-0.030	0.004	0.103	0.008
07/08/14 12:00 PM	14.8	-0.031	0.004	0.102	0.006
07/08/14 04:00 PM	21.7	-0.031	0.000	0.101	0.007
07/08/14 08:00 PM	32.1	-0.021	0.004	0.100	0.009
07/09/14 12:00 AM	35.5	-0.018	0.010	0.102	0.010
07/09/14 04:00 AM	29.5	-0.025	0.009	0.105	0.010
07/09/14 08:00 AM	18.2	-0.030	0.004	0.105	0.009
07/09/14 12:00 PM	14.5	-0.031	0.004	0.102	0.006
07/09/14 04:00 PM	22.4	-0.032	-0.001	0.102	0.008
07/09/14 08:00 PM	32.4	-0.023	0.004	0.102	0.009
07/10/14 12:00 AM	34.9	-0.021	0.009	0.103	0.010
07/10/14 04:00 AM	23.0	-0.027	0.006	0.104	0.008
07/10/14 08:00 AM	20.0	-0.031	0.004	0.104	0.007
07/10/14 12:00 PM	15.8	-0.031	0.001	0.102	0.005
07/10/14 04:00 PM	20.3	-0.031	0.000	0.102	0.006
07/10/14 08:00 PM	29.6	-0.024	0.003	0.102	0.008
07/11/14 12:00 AM	30.1	-0.024	0.007	0.102	0.009
07/11/14 04:00 AM	26.6	-0.026	0.006	0.103	0.008
07/11/14 08:00 AM	17.1	-0.031	0.004	0.102	0.006
07/11/14 12:00 PM	14.5	-0.031	0.002	0.102	0.004
07/11/14 04:00 PM	21.0	-0.032	-0.002	0.100	0.006
07/11/14 08:00 PM	30.2	-0.022	0.004	0.100	0.007
07/12/14 12:00 AM	32.8	-0.019	0.010	0.102	0.008
07/12/14 04:00 AM	24.2	-0.026	0.007	0.103	0.007
07/12/14 08:00 AM	17.5	-0.031	0.004	0.102	0.006
07/12/14 12:00 PM	14.8	-0.031	0.003	0.102	0.004
07/12/14 04:00 PM	18.9	-0.031	0.000	0.100	0.004
07/12/14 08:00 PM	28.9	-0.025	0.002	0.100	0.007
07/13/14 12:00 AM	31.7	-0.021	0.009	0.102	0.007
07/13/14 04:00 AM	25.0	-0.025	0.007	0.102	0.007
07/13/14 08:00 AM	15.9	-0.031	0.004	0.102	0.006
07/13/14 12:00 PM	13.3	-0.031	0.002	0.101	0.004
07/13/14 04:00 PM	21.6	-0.032	-0.001	0.100	0.005
07/13/14 08:00 PM	33.3	-0.021	0.004	0.100	0.007
07/14/14 12:00 AM	33.1	-0.019	0.010	0.101	0.008
07/14/14 04:00 AM	28.3	-0.025	0.009	0.103	0.008
07/14/14 08:00 AM	19.6	-0.030	0.004	0.102	0.006
07/14/14 12:00 PM	17.8	-0.031	0.003	0.102	0.006
07/14/14 04:00 PM	22.7	-0.031	0.000	0.102	0.006
07/14/14 08:00 PM	31.5	-0.024	0.004	0.100	0.007
07/15/14 12:00 AM	27.0	-0.025	0.007	0.102	0.006
07/15/14 04:00 AM	23.5	-0.029	0.004	0.102	0.006
07/15/14 08:00 AM	15.1	-0.031	0.003	0.100	0.004
07/15/14 12:00 PM	12.7	-0.034	0.000	0.100	0.004
07/15/14 04:00 PM	20.3	-0.032	-0.001	0.099	0.004
07/15/14 08:00 PM	28.3	-0.025	0.003	0.099	0.004
07/16/14 12:00 AM	29.7	-0.024	0.005	0.099	0.004
07/16/14 04:00 AM	23.8	-0.027	0.005	0.100	0.004
07/16/14 08:00 AM	16.1	-0.031	0.003	0.099	0.004
07/16/14 12:00 PM	12.0	-0.033	0.000	0.099	0.003
07/16/14 04:00 PM	18.0	-0.033	-0.002	0.099	0.004
07/16/14 08:00 PM	28.7	-0.024	0.003	0.099	0.004
07/17/14 12:00 AM	31.6	-0.021	0.009	0.099	0.004
07/17/14 04:00 AM	24.8	-0.026	0.006	0.100	0.005
07/17/14 08:00 AM	14.3	-0.031	0.004	0.100	0.004
07/17/14 12:00 PM	12.2	-0.034	0.000	0.099	0.003
07/17/14 04:00 PM	18.9	-0.033	-0.002	0.099	0.003
07/17/14 08:00 PM	30.5	-0.025	0.003	0.099	0.004
