"year","month","TMEAN","TPPT","ndays_missing_ppt","n_days_missing_tmean"
"1985","01",15,0.6,0,0
"1985","02",14.6,0.5,0,0
"1985","03",26,1.3,0,0
"1985","04",44,0.3,0,0
"1985","05",54.3,1.8,0,0
"1985","06",62.1,0.5,0,0
"1985","07",71.1,1.4,0,0
"1985","08",64.5,0.3,0,0
"1985","09",50.3,2.5,0,0
"1985","10",41.7,0.1,0,0
"1985","11",20.7,1.8,0,0
"1985","12",16.5,0.9,0,0
"1986","01",24.5,0.5,0,0
"1986","02",26.9,1,0,0
"1986","03",39.2,1.2,0,0
"1986","04",42.6,2,0,0
"1986","05",51.1,1.6,0,0
"1986","06",65,1.8,0,0
"1986","07",64.8,0.6,0,1
"1986","08",68.9,2,0,0
"1986","09",51.6,0.9,0,0
"1986","10",46.5,0.1,0,0
"1986","11",30.3,0.4,0,0
"1986","12",25,0.2,0,0
"1987","01",18.6,1.2,0,0
"1987","02",28.2,0.9,0,0
"1987","03",35,1.1,0,0
"1987","04",50,0,0,0
"1987","05",55.6,3.2,0,0
"1987","06",62.5,0.6,0,0
"1987","07",65.7,2.6,0,0
"1987","08",64.8,0.6,0,0
"1987","09",62.1,0,0,0
"1987","10",49.6,0,0,0
"1987","11",34.7,1.6,0,0
"1987","12",22.9,0.8,0,0
"1988","01",17.6,0.8,0,0
"1988","02",24.6,0.1,0,0
"1988","03",32.7,0.5,0,0
"1988","04",47.2,2.3,0,0
"1988","05",53.3,0.5,0,0
"1988","06",66.5,0.6,0,0
"1988","07",72.2,0.3,0,0
"1988","08",68.9,0.2,0,0
"1988","09",58.5,0.4,0,0
"1988","10",54.1,0,0,0
"1988","11",28.6,2.6,0,0
"1988","12",18.6,1.2,0,0
"1989","01",14.6,1,0,0
"1989","02",16,0.8,0,0
"1989","03",32.5,1.2,0,0
"1989","04",45.6,0.2,0,0
"1989","05",52,0.8,0,0
"1989","06",60.6,1.2,0,0
"1989","07",71.4,0.6,0,0
"1989","08",63.8,2.7,0,0
"1989","09",57,0.9,0,0
"1989","10",43.8,1.4,0,0
"1989","11",31.4,0.2,0,0
"1989","12",21,0.1,0,0
"1990","01",22.1,0.9,0,0
"1990","02",20.8,0.6,0,0
"1990","03",35.4,0.7,0,0
"1990","04",47.4,0.9,0,0
"1990","05",49.5,2.2,0,0
"1990","06",60,1.8,0,0
"1990","07",69.6,0.7,0,0
"1990","08",67.6,0.8,0,0
"1990","09",63.8,1.1,0,0
"1990","10",43.9,0.2,0,0
"1990","11",32.2,0.7,0,0
"1990","12",10.3,0.6,0,0
"1991","01",18,0.2,0,0
"1991","02",32.1,0.2,0,0
"1991","03",34,1.7,0,0
"1991","04",40.9,1.3,0,0
