"mean","sd","2.5%","25%","50%","75%","97.5%","Rhat","n.eff"
"intcpt.trt[3,1]",0.960373795,31.8634978824333,-58.3205,-21.34,1.388,22.3325,62.2747499999999,1.00430472805221,400
"intcpt.trt[3,2]",-1.3373647465,0.728125078560925,-2.81425,-1.81825,-1.3235,-0.8545,0.0799334999999995,1.00049971613998,2000
"intcpt.trt[3,3]",-1.417555545,0.509750650225878,-2.40435,-1.75,-1.415,-1.06975,-0.4424375,1.00068141107942,2000
"intcpt.trt[3,4]",-0.86797822165,0.515561113681205,-1.924175,-1.21825,-0.85495,-0.508425,0.0814122499999996,1.00111831391117,2000
"intcpt.trt[4,1]",-28.5241715,18.4750548245052,-72.00525,-39.465,-24.605,-13.85,-5.735075,1.00051516106411,2000
"intcpt.trt[4,2]",-0.25326554,30.2346991200204,-59.4975,-20.2425,-0.25,20.4725,60.124,1.00216342546933,2000
"intcpt.trt[4,3]",0.037412498,31.5870891955984,-62.0265,-21.325,0.07566,21.195,60.7219999999999,1.00062653472385,2000
"intcpt.trt[4,4]",-0.4080480225,31.4962774379596,-64.1435,-21.6425,-0.3106,20.925,59.7004999999999,1.00248430674302,760
"intcpt.gr[1,1]",-0.2807732298,0.290670202079765,-0.86187,-0.4687,-0.28865,-0.0920225,0.3111325,1.01441336848057,120
"intcpt.gr[1,2]",-0.0336509276,0.252810221935909,-0.53414,-0.19525,-0.033165,0.134,0.4688,1.01512625932911,110
"intcpt.gr[1,3]",-0.197281405525,0.205641050036718,-0.6064325,-0.328875,-0.1968,-0.0690125,0.21076,1.00787573825696,1600
"intcpt.gr[1,4]",-0.0849936299,0.207080374845457,-0.4848225,-0.220825,-0.09253,0.0467925,0.340125,1.01270836481563,1100
"intcpt.gr[2,1]",0.727544938,0.354765387665149,0.101456,0.482075,0.7091,0.9465,1.47215,1.01203190907902,140
"intcpt.gr[2,2]",0.22292891875,0.2842645561975,-0.31722,0.0334075,0.21615,0.401475,0.807707499999999,1.00063432649645,2000
"intcpt.gr[2,3]",0.339870434,0.238039016028727,-0.12107,0.181825,0.3379,0.4889,0.817799999999999,1.00150325054663,1900
"intcpt.gr[2,4]",0.3155282113,0.236292286625029,-0.1316175,0.152525,0.30925,0.47265,0.80124,1.0162525841262,480
"intcpt.gr[3,1]",0.127467357016,0.286159289441093,-0.429345,-0.05836,0.1204,0.308475,0.7032375,1.0149377584295,110
"intcpt.gr[3,2]",0.12925483195,0.246775252701471,-0.37935,-0.035925,0.12665,0.293175,0.6197125,1.00898284474273,180
"intcpt.gr[3,3]",0.111294723875,0.214071013639556,-0.310335,-0.0209675,0.1162,0.24995,0.54221,1.00435697680347,2000
"intcpt.gr[3,4]",-0.16429318025,0.211433960064093,-0.5865075,-0.309225,-0.16685,-0.0232575,0.26196,1.01546769223092,220
"intcpt.gr[4,1]",-0.03119599572,0.304706926453565,-0.6465675,-0.2319,-0.03832,0.171175,0.581147499999999,1.00844858735177,190
"intcpt.gr[4,2]",-0.21430380383,0.234437433526577,-0.6816,-0.369575,-0.20775,-0.0567575,0.2422025,1.01807592748661,89
"intcpt.gr[4,3]",-0.27154165245,0.226157529559735,-0.7454275,-0.406825,-0.27275,-0.1223,0.1754775,1.00768779625587,400
"intcpt.gr[4,4]",0.2102970784,0.225740020810694,-0.2253,0.05746,0.21225,0.3557,0.6654725,1.01895557236896,200
"intcpt.gr[5,1]",-0.27672783625,0.421059353077349,-1.151025,-0.540625,-0.2596,0.009766,0.5253325,1.00591814633466,280
"intcpt.gr[5,2]",-0.12115703542,0.391462393013077,-0.9261,-0.370775,-0.1195,0.136125,0.633387499999999,1.00117713198368,2000
"intcpt.gr[5,3]",0.222848405932,0.30504002678509,-0.374035,0.023315,0.2146,0.41255,0.85053,1.00550697105691,300
"intcpt.gr[5,4]",-0.14013824885,0.302948254738047,-0.74011,-0.337375,-0.1336,0.06759,0.42106,1.00334151147216,530
"intcpt.gr[6,1]",-0.16024792545,0.298844508926613,-0.7487075,-0.35085,-0.1636,0.038705,0.444294999999999,1.00438323881629,390
"intcpt.gr[6,2]",-0.026095143215,0.231689042809158,-0.4885375,-0.182025,-0.023435,0.1268,0.409265,1.00943567298264,170
"intcpt.gr[6,3]",-0.14220473375,0.209646519059925,-0.5525025,-0.28255,-0.14165,-0.0041635,0.266815,1.0049099710551,2000
"intcpt.gr[6,4]",-0.23872160625,0.21691475469398,-0.668195,-0.3785,-0.24255,-0.09634,0.19761,1.01357213383112,470
"g.tau[1]",4.70533325,2.52890256571559,1.21089983862504,2.84249986804293,4.25349997061244,5.997,10.831247195156,1.00174871756603,2000
"g.tau[2]",6.68846805,3.3314187375436,1.79679956466687,4.29674823144058,6.162,8.41499982177512,14.3117458401725,1.00114416994579,2000
"g.tau[3]",6.3822476,3.14425946189657,1.8266738673305,4.07549990797169,5.89099787811878,8.10924971103759,13.9404996506169,1.00293074844202,620
"g.tau[4]",6.5433841,3.26500607809728,1.89154789975782,4.1217494311401,5.96349645761612,8.36074989909409,13.9119944136642,1.0026705202759,940
"dd[1,1]",-0.071405091895,0.0238069693574256,-0.1121,-0.0882975,-0.073355,-0.0559175,-0.0215395,1.0013719460719,1700
"dd[1,2]",0.0089821828005,0.0149931775765114,-0.019434,-0.00144625,0.008959,0.019065,0.04050525,1.00862971107412,190
"dd[1,3]",0.000772068035,0.00881696284892066,-0.0189365,-0.0045785,0.0011305,0.00668225,0.016875,1.0014865162441,2000
"dd[1,4]",0.0242531399,0.010240850017181,0.006592775,0.0174925,0.023525,0.030085,0.0474245,1.0010262741812,2000
"dd[2,1]",-0.23460642915,0.0800420741586004,-0.3946175,-0.2883,-0.2367,-0.181275,-0.0773307500000001,1.00306844364038,590
"dd[2,2]",-0.5858235,0.0540524529654834,-0.6907275,-0.62195,-0.5863,-0.548975,-0.4764925,1.00394861517881,440
"dd[2,3]",-0.008710075555,0.04318672434079,-0.09562475,-0.03754,-0.0087535,0.0204875,0.0753659999999999,1.00297828437526,910
"dd[2,4]",-0.171237051,0.0455274574424708,-0.2606175,-0.200925,-0.17105,-0.140375,-0.081649,1.00265530989484,2000
"dd[3,1]",-0.3034500024,0.285999002049635,-0.85731,-0.494525,-0.30775,-0.1163,0.30154,1.01049851918008,150
"dd[3,2]",0.03565165996,0.148422257927427,-0.27068,-0.0594925,0.03667,0.130075,0.3306125,1.0056958887712,290
"dd[3,3]",-0.8711691,0.168839283749543,-1.228,-0.98555,-0.86325,-0.7477,-0.5753625,1.00495897882881,350
"dd[3,4]",-0.1310709098,0.120256222859544,-0.3690325,-0.208525,-0.1325,-0.05209,0.10428,1.00751719360744,220
"dd[4,1]",-0.038840180575,0.128331737129324,-0.2811125,-0.12765,-0.045405,0.0430425,0.235915,1.0005175353702,2000
"dd[4,2]",-0.13813608478,0.0987962930725692,-0.3301175,-0.2038,-0.1401,-0.07282,0.0608954999999999,1.035943681069,48
"dd[4,3]",0.030610974375,0.0690595398970854,-0.1135,-0.01616,0.035275,0.07841,0.157705,1.0122770449572,130
"dd[4,4]",-0.58590925,0.0695408226327797,-0.7198,-0.633625,-0.5869,-0.5395,-0.4453,1.00236254399672,810
"theta[1]",0.61640975,0.0712563381236989,0.488692497754617,0.566674998345515,0.613949997964004,0.659724998579025,0.767007498570283,1.00227354846925,1400
"theta[2]",0.99243885,0.130822503375269,0.765387496017526,0.900624990630465,0.98369999491715,1.07124991251263,1.27807491430494,1.00095854295922,2000
"theta[3]",1.07118635,0.0971964975616232,0.898997499864423,1.003,1.06849988301356,1.132,1.279,1.00050587750705,2000
"theta[4]",1.0909761,0.103096856885842,0.902484995136375,1.02,1.086,1.155,1.30502499066563,1.00371743684698,600
"u[1]",0.59638342,0.167811164905787,0.231537168749727,0.48339987581066,0.621349997988251,0.7258,0.8588,1.00366831857402,2000
"u[2]",0.99631725,0.00330669995158087,0.987794999506413,0.9947,0.9972,0.9988,0.9999,1.00199129377409,2000
"u[3]",0.3097476115,0.144905753742581,0.0568623787653329,0.200224957838845,0.30409998355804,0.414324943454829,0.601382280069351,1.01148572558803,360
"u[4]",0.540734403,0.163769034239127,0.169501390170827,0.4372,0.559899991069834,0.662149994337201,0.802934970282582,1.00098347128935,2000
"lambda[1,1]",0.23751084635,0.566039232554984,0.00533509143140291,0.0351924976017906,0.0890499724873624,0.213799929884684,1.33319941715535,1.00843047197551,190
"lambda[1,2]",2.422015745,4.51151297511787,0.18683455511014,0.731249994871327,1.41799964739065,2.77924996627192,10.1137231385247,1.00049809154675,2000
"lambda[1,3]",1.8284448,1.48513005985008,0.366974966731862,0.888249894415759,1.40899964513835,2.29724995919626,5.931,1.0006246235069,2000
"lambda[1,4]",7.9149762,6.23726749939772,2.04054805397952,3.967,6.243,9.84849965737779,23.0312486788853,1.00332069805059,530
"lambda[2,1]",0.25014722835,0.502816478071879,0.0077930728525768,0.0479999968741316,0.1151,0.273674832288716,1.30914966582847,1.0010198154557,2000
"lambda[2,2]",1.036567185,1.70310135249417,0.0736372067617841,0.298,0.599149831010575,1.199,4.25432451679521,1.00542698573214,310
"lambda[2,3]",4.62662525,3.78858283386439,0.977437421943354,2.236,3.49349996421926,5.643,15.3359546739735,1.00052331780006,2000
"lambda[2,4]",0.552022615,0.431433141172955,0.107182444051564,0.267349985969944,0.435349997128747,0.6857249986329,1.63307493291181,1.00082461443627,2000
